Año,Referencia,Dominio de aplicación,Tipo de datos,Número de variables,Longitud temporal,Mecanismo de ausencia asumido,Patrón de ausencia evaluado,Método,Tipo de salida: puntual o probabilística,Pérdida de entrenamiento,Métricas,Baselines,Ventajas,Limitaciones,Código o datos disponibles,Relevancia para tu taxonomía
2019,"Zaki, C., Ayet, M., & Soussi, A. B. (2019).","Sistemas de Información Geográfica (SIG) urbanos y modelado conceptual espaciotemporal tridimensional (p. ej. modelado de edificios, puentes, estacionamientos multinivel y antenas urbanas).","Espaciales, temporales y estructurales integrados de tres dimensiones (puntos, líneas, áreas extruidas y conjuntos multiformes en 2.5D, 2.75D y 3D).","Atributos espaciales geométricos (forma, coordenadas tridimensionales de posición y altura) y temporales (historia de evolución y eventos) de los objetos geográficos.","No aplica directamente a la imputación. Administra y representa de forma continua el historial de cambios, evoluciones multirrepresentacionales y eventos geográficos.",No aplica (el artículo trata sobre modelado conceptual arquitectónico de bases de datos geográficas 3D y no sobre imputación de datos faltantes numéricos).,No aplica.,"Extensión y mejora del modelo de datos conceptual espaciotemporal MADS (Modèle Conceptuel Spatio-Temporel) mediante la introducción de una jerarquía de nuevos tipos geométricos en 3D (puntos, líneas y áreas extruidas, bolsas de objetos complejos 3D) y nuevos pictogramas visuales que enriquecen el modelado relacional-objeto del universo urbano tridimensional conservando la ortogonalidad entre dimensiones.",Puntual (diagramas de modelado de clases espaciales que especifican exactamente el tipo geométrico tridimensional de los objetos).,No aplica (es un proceso de diseño de bases de datos mediante diagramas entidad-asociación y lógica de clases).,Expresividad y riqueza semántica del modelado para representar de forma exacta objetos urbanos complejos que tienen volumen en comparación con representaciones planas de 2D.,"Modelo MADS estándar en dos dimensiones (2D), modelo conceptual Perceptory.","Permite a los diseñadores estructurar de forma clara y unificada bases de datos geográficas complejas que integran de manera nativa la altura y volumen de las estructuras (ej. puentes, helipuertos, estacionamientos subterráneos) sin perder la capacidad de registrar la historia temporal o múltiples representaciones en MADS.","La implementación de los nuevos tipos 3D propuestos no está estandarizada en los motores de bases de datos relacionales del mercado, requiriendo su mapeo a bases de datos orientadas a objetos específicas (como db4o).","Pruebas de persistencia en Java usando bases de datos db4o, y adaptaciones con estándares BPMN v2.0.1.",Especificación conceptual estructurada de dimensiones geométricas en 3D y su evolución temporal (MADS) para la estructuración y consistencia semántica de bases de datos de información urbana compleja.
2019,Kingma & Welling (2019),"Modelado generativo probabilístico de propósito general (calidad de imágenes, texto, semi-supervisión).","Datos continuos o binarios de alta dimensionalidad (MNIST, CIFAR-10, etc.).",Multivariante de alta dimensión.,N/A.,MAR (en el contexto de inferencia con variables latentes no observadas y datos faltantes semi-supervisados).,N/A (formulación conceptual).,VAE (Variational Autoencoder) y extensiones como IAF (Inverse Autoregressive Flow). Utiliza un codificador (red de inferencia q_phi(z|x)) y un decodificador p_theta(x|z) parametrizados por redes neuronales profundas y optimizados conjuntamente mediante SGD con el truco de reparametrización.,Probabilística (aproximación de la densidad completa p(x) y posterior q(z|x)).,Maximización del ELBO (Evidence Lower Bound): reduce el error de reconstrucción (pérdida de verosimilitud) y penaliza la divergencia Kullback-Leibler entre q(z|x) y el prior p(z).,"Log-likelihood (marginal), ELBO, reconstrucción MSE/Cross-entropy.","Wake-Sleep algorithm, Autoencoders lineales (PCA), modelos de variables latentes con MCMC clásico, score function estimators (REINFORCE).",Inferencia amortizada extremadamente eficiente; permite modelar distribuciones no lineales de alta complejidad y generar nuevos datos realistas de forma rápida.,Propensión al colapso de componentes latentes (KL vanishing) al inicio del entrenamiento; requiere ajustes del peso de la divergencia KL (KL annealing o free bits).,"Implementaciones estándar en Tensorflow, PyTorch y repositorios de referencia de los autores.",Fundamento teórico principal de los modelos generativos basados en Variational Autoencoders (VAEs) e inferencia amortizada.
2020,"Afrifa-Yamoah, E., Mueller, U. A., S. M. Taylor, & Fisher, A. J. (2020). ",Climatología y meteorología. Imputación de variables de estaciones climáticas para alimentar modelos de estimación del uso de cámaras remotas en la evaluación de la pesca recreativa de botes.,"Continuos, series temporales climáticas univariantes de alta resolución (registros horarios).","3 variables de respuesta principales (temperatura, humedad, velocidad del viento), más múltiples covariables usadas como predictores en el modelo de regresión (precipitación, dirección del viento transformada mediante seno y coseno, presión a nivel del mar).",Series temporales de 12 meses de duración (del 1 de marzo de 2011 al 29 de febrero de 2012).,Missing at Random (MAR) o datos faltantes al azar.,"Gaps artificiales consecutivos de datos faltantes que imitan los patrones reales de fallos instrumentales, evaluados mediante validación cruzada de 5 pliegues (5-fold cross-validation) con una proporción fija del 10% de datos ausentes.","Modelo de serie temporal estructural (Structural Time Series Model) con suavizado de Kalman, modelo autorregresivo integrado de promedio móvil (ARIMA) con suavizado de Kalman, y regresión lineal múltiple con errores estándar robustos a heterocedasticidad y autocorrelación (HAC).",Puntual (genera valores específicos estimados para imputar los gaps).,No aplica directamente (se optimiza mediante estimación por máxima verosimilitud de los parámetros del espacio de estados y estimación por mínimos cuadrados ordinarios para la regresión).,"Error absoluto medio agrupado (pooled MAE), raíz del error cuadrático medio (RMSE) y error porcentual absoluto medio simétrico (SMAPE).","Comparación de rendimiento mutuo entre los tres métodos evaluados (ARIMA con Kalman, estructural con Kalman, y regresión lineal). Menciona baselines históricos de la literatura como imputación por la media incondicional, algoritmo EM regularizado, spline cúbico, redes neuronales artificiales, etc.","El modelo de regresión lineal múltiple demostró el mejor rendimiento general en zonas donde las variables climáticas están altamente correlacionadas. ARIMA con suavizado de Kalman compite muy de cerca y tiene la ventaja de ser un modelo univariante independiente de otras variables, ideal para escenarios de escasez de datos.",La regresión lineal múltiple no se puede aplicar en ausencia de variables predictoras o cuando la correlación entre ellas es muy débil (como en la región tropical de Broome). El modelo temporal estructural tuvo un rendimiento subóptimo debido a que las submuestras eran cortas y no capturaban la complejidad de las tendencias y estacionalidades de largo plazo.,"Implementado en R (versión 3.5.1) utilizando el paquete de imputación de series temporales ""imputeTS"" (versión 2.7) con las funciones StructTS y auto.arima. Los datos climáticos provienen de la Oficina de Meteorología del Gobierno de Australia.",Esencial para la clasificación de métodos de series temporales univariantes en el espacio de estados (suavizado de Kalman) frente a enfoques multivariados de regresión con dependencias temporales y geográficas bajo el supuesto de MAR.
2020,Hadeed et al. (2020),Exposición ambiental de salud pública (monitoreo de PM2.5 en el exterior de 20 hogares rurales en Arizona).,Series de tiempo de alta frecuencia (intervalos de 1 minuto) sobre un periodo corto.,"1-minute PM2.5, temperatura, humedad relativa, ubicación geográfica, tipo de combustible.","24 horas (1,440 mediciones de 1 minuto por hogar).",MAR (falla de energía eléctrica) y MNAR (malfuncionamiento del monitor debido a altas temperaturas o saturación de filtros).,"Pérdidas consecutivas simuladas (bloques continuos simulando apagado temprano del monitor) del 20%, 40%, 60% y 80%.","Comparación de métodos univariados (Mean, Median, LOCF, Random, Markov de primer orden, Filtros de Kalman en ARIMA) frente a multivariados (Predictive Mean Matching - PMM, Row Mean Method - RMM).",Puntual.,N/A.,"Absolute Bias (AB), Percent Absolute Error in Means (PAEM), R2, Root Mean Square Error (RMSE), Mean Absolute Error (MAE) evaluados minuto a minuto y a nivel diario de 24h.",Métodos univariados y multivariados estándar.,"Primer estudio de contaminación a corto plazo; demuestra que los métodos univariados (Markov, Random, Mean) son superiores y más estables que los de otros sitios cuando no hay datos históricos.",No evalúa modelos de aprendizaje profundo; la falta de datos multianuales restringe el modelado de tendencias estacionales a largo plazo.,Dataset pDR-1500 de 20 hogares en Arizona.,Evaluación empírica de técnicas de imputación simples vs. múltiples en bases de datos ambientales.
2020,Melendez et al. (2020),"Calidad del aire y monitoreo de partículas (concentraciones diarias de PM10 en 7 estaciones de La Guajira, Colombia).",Datos funcionales de calidad del aire (curvas diarias continuas de concentración de PM10).,7 estaciones de monitoreo equipadas con equipos Hi-Vol.,Registros diarios modelados como datos funcionales continuos.,"MAR/MCAR (fallas mecánicas del muestreador, mantenimiento de rutina o errores de registro humano).",Gaps en intervalos diarios específicos y detección de curvas/estaciones atípicas completas.,"FPCA (Análisis de Componentes Principales Funcionales), y algoritmos basados en ACPP (Análisis Probabilístico de Componentes Principales) y ACPB (Análisis de Componentes Principales Bayesiano) para estimar valores perdidos sobre trayectorias continuas. Detección de atípicos con diagramas de caja funcionales de mayor densidad regional (HDR).",Probabilística/Puntual (trayectorias estimadas y sus intervalos de confianza de varianza explicada).,Maximización de la varianza explicada acumulada bajo las primeras L componentes funcionales.,"Fracción de la varianza explicada, diagramas de caja funcionales HDR, visualización de trayectorias.","""Mean top bottom"" (imputación por la media de extremos), k-vecinos en espacio funcional.",Capaz de imputar intervalos faltantes extensos respetando la dinámica funcional continua y la correlación compartida entre estaciones de la red.,Sensible al número L de componentes funcionales seleccionados.,Datos de PM10 de La Guajira.,Análisis de Datos Funcionales (ADF) y Componentes Principales Funcionales para la reconstrucción de curvas de sensores continuas.
2020,Rasheed et al. (2020),"Digital Twins (gemelos digitales) en ingeniería, física, salud, meteorología e industria.",Datos masivos multivariantes y continuos de sensores físicos e IoT.,"Alta dimensionalidad (varía según la aplicación, ej. modelos climáticos o motores de turbina).",Series de tiempo de alta frecuencia continuas e irregulares.,"MAR, MCAR, MNAR (fallas mecánicas de sensores, pérdidas en transmisión inalámbrica).","Pérdidas aleatorias, continuas o catastróficas (blackouts).","Revisión de métodos basados en autoencoders profundos, GANs, LSTMs, y modelos híbridos que combinan ecuaciones físicas con machine learning (DeepMoD). Técnicas de asimilación de datos (Filtros de Kalman, Filtros de Partículas, 4D-Var).",Puntual (imputación física o de ML) y probabilística (filtros bayesianos).,Pérdidas híbridas (datos + regularización física basada en ecuaciones diferenciales ordinarias/parciales).,"MSE, RMSE, R2, MAE.","Modelos puramente basados en física, modelos puramente de machine learning (Lasso, Ridge, Elastic-Net, KNN, SVD).","Los modelos híbridos permiten recuperar estructuras físicas ocultas y garantizar consistencia física; las arquitecturas profundas (autoencoders, LSTM) capturan patrones espacio-temporales altamente complejos.","Los modelos físicos requieren calibración costosa en recursos; el entrenamiento de gemelos digitales profundos exige masivos recursos de cómputo y almacenamiento (Hadoop/Spark, AWS).","N/A (revisión general con múltiples referencias, ej. FarmBeats, SPHERE).",Gemelos digitales e imputación guiada por física (physics-informed imputation) y asimilación secuencial de datos.
2020,Wijesekara & Wijesekara (2020),"Calidad del aire (contaminantes medidos por hora en la estación de Liverpool, región de Sydney, de 1994 a 2018).","Series temporales de contaminantes atmosféricos (PM2.5, CO, etc.).",Multivariante.,Largo plazo (1994 a 2018).,"MCAR (simulación basada en que las pérdidas son casi aleatorias a lo largo del tiempo, salvo los primeros años).",Pérdida aleatoria.,Modelado de series de tiempo estructurales (Structural Time Series Models) representados en formato espacio-estado con vectores de transición de Markov (Filtro de Kalman).,Puntual.,Maximización de la verosimilitud de las observaciones espacio-estado.,"MSE, R2, d (Index of Agreement).","Modelos autorregresivos estándar, imputación lineal, imputeTS de R.","Modela explícitamente los componentes de tendencia, estacionalidad y perturbaciones aleatorias de las series mediante el formato espacio-estado; robusto para series con variaciones de largo plazo.",El modelado espacio-estado puede ser muy sensible a la especificación de las matrices de covarianza de las perturbaciones.,Datos de contaminantes de Sydney (1994-2018).,Modelado probabilístico espacio-estado y filtros de Kalman longitudinales para series temporales ambientales de largo plazo.
2021,Tashiro et al. (2021) [CSDI],"General (Healthcare, Calidad del Aire, Energía, Tráfico, Wikipedia).",Series temporales multivariantes continuas e irregulares.,"PhysioNet (35 variables), Beijing (36 variables).","PhysioNet (48 pasos), Beijing (36 pasos) a nivel horario.",MCAR (PhysioNet) y MAR (Beijing - patrones estructurados).,"Random strategy, Historical, Mix (random + historical) y Test pattern (forecasting).",CSDI (Conditional Score-based Diffusion Model) con mecanismo de Atención 2D (temporal + features).,Probabilística (muestreo de 100 estimaciones para simular la distribución).,"Denoising score matching (pérdida L2 sobre el ruido añadido, enmascarada).","CRPS (Continuous Ranked Probability Score), MAE, RMSE, NLL, MSE.","Multitask GP, GP-VAE, V-RIN, BRITS, GLIMA, RDIS, Latent ODE, mTANs, GP-copula, TransMAF, TLAE, TimeGrad.",Primer modelo de difusión condicional para series de tiempo; excelente modelado de incertidumbre y correlaciones cruzadas.,Inferencia muy lenta debido al proceso iterativo de reversión de difusión (50 pasos de difusión).,Abierto en GitHub: https://github.com/ts_diffusion/CSDI,Representante principal del enfoque generativo de difusión condicional en series temporales.
2021,Hu et al. (2021) [LoRA],Procesamiento de Lenguaje Natural (Adaptación de Grandes Modelos de Lenguaje).,"Datos de texto en lenguaje natural (GLUE, WikiSQL, SAMSum, NLG).","N/A (Parámetros del Transformer: dmodel, dffn, etc.).",N/A (Secuencias de texto de 128 a 2048 tokens).,N/A.,N/A.,LoRA (Low-Rank Adaptation): inyecta matrices de bajo rango BA en paralelo a las proyecciones de atención.,Puntual (logits y distribuciones de probabilidad discretas).,Maximización de la probabilidad condicional de modelado de lenguaje (Cross-Entropy).,"Accuracy, CoLA (Matthew's), STS-B (Pearson), BLEU, NIST, METEOR, ROUGE-L, CIDEr.","Full Fine-Tuning (FT), FTTop2, BitFit, Prefix-Embedding Tuning, Prefix-Layer Tuning, AdapterH, AdapterL.","Reduce parámetros entrenables 10,000x; sin latencia de inferencia (matrices fusionables); alta eficiencia de almacenamiento.",Dificultad de procesamiento por lotes para diferentes adaptadores simultáneos si no se fusionan.,Abierto en GitHub: https://github.com/microsoft/LoRA,Principio teórico de adaptaciones de bajo rango; inspira el diseño de backbones con bajo rango intrínseco.
2021,Alahamade et al. (2021),Calidad del aire y monitoreo de la contaminación en el Reino Unido.,Series temporales multivariantes horarias de contaminantes ambientales.,"4 variables continuas principales (O3, NO2, PM2.5, PM10).","Año 2018 completo (muestreos horarios, ej. 167 estaciones * 365 días).",MAR (valores perdidos por fallas imprevistas de sensores o falta de medición).,Missing time series (completas) para estaciones específicas.,"k-means/k-medoids con distancia fusionada espacial-temporal (fused distance). Modelos de imputación por similitud geográfica y temporal (CA, CA+ENV, CA+REG, 1NN, 2NN, Median).",Puntual.,N/A (Algoritmos no supervisados de clustering / k-means).,"FAC2 (fracción de predicciones dentro de un factor de 2), MB (sesgo medio), NMB, RMSE, R, IOA (Index of Agreement).","1NN (Vecino más cercano geográfico), 2NN, Median, CA (Clustering de afinidad espacial).",Permite imputar series completas incluso cuando no hay mediciones de un contaminante gracias al clustering multivariante y la correlación geográfica.,Presenta sesgo positivo en concentraciones altas (ej. modelo 1NN). Depende de la densidad de la red de monitoreo geográfico.,Código y datos disponibles públicamente en: https://github.com/Wedad-O-A/Modelled-concentrations-/tree/v3.5.2 y Zenodo (10.5281/zenodo.5602618).,Clustering espacial y temporal integrado en imputación de series de tiempo ambientales; destaca la red de monitoreo como soporte mulivariante.
2021,Emmanuel et al. (2021),"Revisión sistemática general de machine learning (salud, medio ambiente, finanzas, meteorología) y experimentos con Iris e ID Fan.",Datos tabulares estáticos y series temporales de sensores industriales (ID Fan).,"Iris (4 variables), ID Fan (vibraciones, temperaturas de rodamientos y motores en FNDE, FDE, MNDE, MDE).","ID Fan (lecturas registradas cada 4 horas durante el mes de febrero de 2021, 150 instancias).","MCAR, MAR, MNAR.",Simulación de pérdida tipo MCAR a tasas de 10% y 15% (Iris y vibraciones de ID Fan).,"Revisión de Deletion (pairwise/listwise), Imputación simple (Mean, Mode), Regresión, Expectation-Maximization (EM), kNN (CVBkNN, CKNNI), Decision Trees, missForest, y Stacking Ensembles (MIE). Evaluación de KNN vs. Random Forest (RF).",Puntual.,N/A (Algoritmos no supervisados y basados en árboles/árboles aleatorios).,"MAE, MSE, RMSE, AUC.","KNN, Random Forest, Mean.","Proporciona una taxonomía exhaustiva de patrones (univariante, monótono, no monótono) y mecanismos; concluye que el rendimiento depende estrictamente del tipo de datos.",La mayoría de los trabajos revisados usan conjuntos de datos pequeños en lugar de big data con dimensiones masivas.,Iris e ID Fan datasets utilizados en la evaluación empírica.,Revisión metodológica exhaustiva de la literatura clásica y moderna de machine learning para datos faltantes.
2021,Ghalebikesabi et al. (2021),"General (Adult, Letter, Wine, Breast, Credit, Spam).",Datos multivariados (tabulares y continuos/categóricos).,Variables estándar de UCI.,N/A.,"MCAR y MNAR (mecanismo no ignorable, ej. autoenmascaramiento cuando la variable supera la mediana).",20% y 80% de tasa de pérdida sintética MCAR y MNAR.,PSMVAE (Pattern-Set Mixture Variational Autoencoder). Utiliza variables latentes categóricas y continuas basadas en el modelo de mezcla de patrones de Little (1993) para agrupar patrones de ausencia y modelar mecanismos MNAR con supervisión semi-probabilística.,"Probabilística (con estimación de la media condicional mediante importancia de muestreo K=10,000).",ELBO modificado que incluye un término ponderado por un factor de confianza pi.,RMSE con desviación estándar sobre 5 semillas.,"VAE básico, DLGM, HIVAE, MIWAE, not-MIWAE, GAIN, MICE, MissForest, Mean.",Capacidad única de clusterizar la población en grupos con mecanismos de ausencia similares; robustez ante la especificación errónea del modelo de ausencia; evita sobreajuste en tasas de pérdida muy altas (80%).,"El cálculo del promedio de importancia (K=10,000) durante la inferencia es costoso.",Código disponible en https://github.com/sghalebikesabi/PSMVAE,Modelos generativos profundos basados en variables latentes y mezclas de patrones de ausencia para datos MNAR (no ignorables).
2021,Ipsen et al. (2021),"Censura en bases de datos (Banknote, Concrete, Red, White, Yeast, Breast), recorte en imágenes (SVHN) y recomendación con sesgo de selección (Yahoo! Ratings).","Datos tabulares continuos (UCI), imágenes y calificaciones discretas.","Varía por base de datos (p. ej. SVHN 32x32 píxeles, Yeast 8 variables).",N/A.,"MNAR (mecanismo de ausencia dependiente de los propios datos no observados, ej. auto-enmascaramiento de valores mayores a la media).",Auto-enmascaramiento (self-masking) y censura de variables.,not-MIWAE (not-Missing Importance-Weighted Autoencoder). Modela de forma conjunta la distribución de los datos p(x) mediante un DLVM y la probabilidad de ausencia p(s|x) con una red neuronal flexible. Usa el truco de reparametrización tanto en el espacio latente z como en el espacio de datos xm.,Probabilística (con muestreo de importancia para estimar la media de imputación).,L_K (cota inferior basada en el promedio de importancia K sobre el espacio latente y de datos).,"RMSE de imputación, Test log-likelihood (Ltest 10000) en conjunto completamente observado, mask classification accuracy.","PPCA, MIWAE, not-MIWAE-PPCA agnostic/self-masking, Low-rank joint model (Sportisse et al.), missForest, MICE, mean.",Proporciona un marco matemático robusto para datos MNAR sin necesidad de variables instrumentales o restricciones de exclusión; la inclusión del modelo de máscara mejora drásticamente el RMSE de imputación.,"Existe un trade-off crítico entre la flexibilidad del modelo de datos y el modelo de máscara; si ambos son muy complejos, el rendimiento puede degradarse debido a problemas de identificabilidad.",https://github.com/nbip/notMIWAE,"Modelado probabilístico conjunto p(x, s) bajo mecanismos MNAR mediante variables latentes e importancia ponderada."
2021,Kim et al. (2021),Diagnóstico médico de pacientes (PhysioNet Challenge 2012 para mortalidad en la UCI) y predicciones de series temporales.,Series temporales multivariantes de alta dimensionalidad y altamente faltantes.,PhysioNet (35 variables clínicas tras excluir datos demográficos).,Secuencias de 48 horas agrupadas a intervalos horarios (T=48).,MCAR y MAR con alta tasa de pérdida (80.5% nativo).,Caída aleatoria adicional de variables observadas (dropping mechanism con tasas adicionales de corrupción alfa) para entrenamiento de reconstrucción.,"End-to-end model con mecanismo de compuertas (Gating mechanism) y dropping. Compuesto por un Generador (GRU con decaimiento temporal en los estados ocultos y entradas basándose en delta de tiempo), un Discriminador (GAN para distinguir datos reales de imputados por elemento) y un Gated Classifier conjunto.",Puntual (para imputaciones) y distribución probabilística discreta (Softmax para clasificación de mortalidad).,Pérdida combinada del generador: LG = L_reconstrucción (L2 con máscara) + beta * L_adversarial (D clasifica como real) + L_clasificación (Cross-Entropy).,"Imputación: MSE, MAE. Clasificación aguas abajo: AUC (Area Under ROC).","Zero imputation, Mean imputation, LOCF, GRU-D, GRUI, E2GAN, BRITS.",El clasificador guiado y el generador se entrenan de forma conjunta; el dropping y el gating reducen drásticamente el ruido de las observaciones crudas; logra rendimiento del estado del arte en la predicción de mortalidad (AUC 0.8649).,El entrenamiento GAN es inherentemente inestable y sensible a la sintonización de beta; el dropping dinámico añade carga de entrenamiento.,Dataset público de PhysioNet Challenge 2012.,Aprendizaje conjunto de extremo a extremo de imputación y tareas predictivas (clasificación de mortalidad) con mecanismos GAN de regularización.
2021,Zhou et al. (2021),"Calidad del aire y monitoreo de la contaminación en múltiples estaciones (AQM en Changzhou, China: Zhonglou, Xinbei, Wujin, etc.).","Series de tiempo de contaminación ambiental (PM2.5, PM10, SO2, NO2, CO, O3) distribuidas geográficamente.",Multivariante y espacial (múltiples estaciones participantes).,Registros horarios continuos.,"MAR (datos perdidos por fallas en sensores locales, cortes de energía eléctrica en estaciones específicas).","Missing rates del 10%, 20%, 30%, 40%.","FCGAI (Federated Conditional Generative Adversarial Imputation). Implementa una arquitectura cliente-servidor para entrenar un modelo de imputación CGAN de forma federada (sin compartir las bases de datos locales por privacidad). Incorpora la distancia de Wasserstein con penalización de gradiente (WGAN-GP) para evitar el colapso de modo, y el truco de ""Hint mask"".",Puntual/Probabilística.,LD (pérdida del discriminador Wasserstein con GP) + LG (pérdida del generador: LG_WGAN + alpha * L_MSE para reconstrucción de elementos observados).,RMSE tras normalización.,"EM (Expectation-Maximization), MICE, GAIN (reproducido), kNN, Mean, Median.",Preserva rigurosamente la privacidad de los datos locales de cada estación ambiental; soluciona de forma efectiva el colapso de modo y la inestabilidad de las redes GAN mediante el uso de Wasserstein distance y penalizaciones de gradiente.,Requiere comunicación y sincronización periódica entre las estaciones clientes y el servidor de agregación (Federated Averaging).,"Datos reales de Changzhou, China.",Modelado generativo distribuido (Federated Learning) y redes adversariales estables (WGAN-GP) con protección de privacidad.
2022,Chen et al. (2022),"Calidad del aire (concentración de PM2.5 en Lanzhou: LH, YZ, BPI).",Series temporales de calidad de aire con atributos correlacionados.,Multivariante (PM2.5 y otros contaminantes como atributos objetivo).,"Corto plazo (Marzo 2019, Abril-Junio 2019) y largo plazo (Julio-Diciembre 2019, Año completo).",MAR/MCAR.,"Pérdida aleatoria de concentraciones con tasas de missingness del 5%, 10%, 20%, 40%.","FTLRI (First Five & Last Three Logistic Regression Imputation). Selecciona 8 puntos temporales altamente relevantes (5 anteriores, 3 posteriores) usando correlación de Pearson (r >= 0.6) y ventana deslizante para entrenar un modelo de regresión logística.",Puntual.,Average log-likelihood loss (regresión logística) optimizado por el método de Newton.,"MAE (Mean Absolute Error), RMSE, MAPE.","KNN (k=8), Random Forest, Logistic Regression por defecto, Dynamic Imputation (Adam, 500 epochs).",No requiere todo el dataset para imputar un punto específico; entrena rápido basándose solo en los 8 vecinos temporales y atributos más correlacionados.,Requiere eliminar previamente todos los datos con valores faltantes para el entrenamiento inicial; asume relaciones lineales de Pearson.,"Datos de Lanzhou (LH, YZ, BPI) disponibles para replicación.",Métodos basados en regresión local con selección inteligente de vecinos (ventanas deslizantes dinámicas y Pearson).
2022,Chen et al. (2022b),"Agricultura y teledetección (mapeo de cultivos a nivel de píxel a partir de imágenes satelitales Sentinel-2 en Shawon, Xinjiang).",Series temporales multiespectrales de píxeles (píxeles con firmas temporales y espectrales de reflectancia).,"10 bandas espectrales (Blue, Green, Red, Red-edge 1-3, NIR1-2, SWIR1-2) como variables.",10 pasos temporales (Abril 22 a Octubre 6).,"MAR (pérdida de datos debido a cobertura de nubes en fechas específicas como Julio 21, Agosto 30, Septiembre 19).","4 patrones específicos observados en terreno (missing en un día, en dos días, o simultáneo), con tasas aleatorias del 30%, 50%, 70%.","Im-BiLSTM (Imputation Bi-directional LSTM), un modelo de aprendizaje conjunto de extremo a extremo que realiza simultáneamente imputación de reflectancias faltantes y clasificación de cultivos (Cotton, Winter Wheat, Spring Wheat, Spring Corn, Tomato).",Puntual (para reflectancias) y probabilística/categórica (Softmax para clasificación de cultivos).,"Pérdida combinada (Multi-task loss): pérdida de clasificación (Cross-Entropy) + pérdida de imputación (MSE en pasos faltantes), ponderadas (0.4 y 0.6).","Confusion matrix, Overall Accuracy (OA), F1-score (para clasificación); R2, RMSE (para imputación).","BiLSTM estándar, BRITS, Che et al. (2018).",Aprendizaje multi-tarea de extremo a extremo; la clasificación de cultivos guía la imputación de nubes y viceversa; análisis de importancia de características mediante gradientes.,Requiere una máscara de entrada detallada; optimización compleja de la pérdida multi-tarea.,Datos de entrenamiento terrestre y de Sentinel-2A de Shawon disponibles.,Imputación de series de tiempo espectrales multi-tarea de extremo a extremo (imputación + clasificación/predicción aguas abajo) con BiLSTM.
2022,Chen et al. (2022c),Sistemas de transporte inteligente (imputación de tráfico y reconstrucción de campos de velocidad escasos).,Series temporales espacio-temporales de tráfico (velocidad y volumen).,"Multivariante (N sensores x T pasos de tiempo, ej. Seattle con 11,160 x 8,064).","Resoluciones de 5 min (288 intervalos/día) o 15 min (96 intervalos/día), cubriendo varios días o semanas (ej. 4 semanas).",MCAR y MAR (pérdida aleatoria de velocidad en sensores).,"Random masking con tasas de pérdida extremas (30%, 50%, 70%, 90% e incluso 95% de datos faltantes).","LCR (Laplacian Convolutional Representation) y LCR-2D. Propone regularización temporal mediante un núcleo Laplaciano formulado como una convolución circular, resuelta eficientemente con FFT (Fast Fourier Transform). Minimiza la norma nuclear de la matriz circulante y la regularización Laplaciana.",Puntual.,Minimización de la norma nuclear de la representación circulante + regularización temporal Laplaciana de convolución circular (L1/L2-norm en el dominio de la frecuencia).,"MAPE, RMSE.","CircNNM, ConvNNM, ConvNNM+, LRMC, HTF, HaLRTC, LRTC-TNN, LCRN, CTNNM, QVC, LKC, NoTMF.",Extremadamente rápido y escalable para problemas de gran escala gracias a FFT (complejidad log-lineal O(NT log(NT))); modela simultáneamente tendencias globales (bajo rango) y suavidad local (Laplaciano).,Asume patrones cíclicos/periódicos para la convolución circular (requiere operaciones de flliping si la periodicidad es débil).,"Datos de HighD, CitySim y Seattle (10.5281/zenodo.3939792).",Modelos algebraicos y de bajo rango (Hankel/Circulante) con regularización espacio-temporal y aceleración por FFT.
2022,Chen et al. (2022d),"Calidad del aire (concentración de PM2.5 en Lanzhou: LH, YZ, BPI).",Series temporales de calidad de aire con atributos correlacionados.,Multivariante (PM2.5 y otros contaminantes como atributos objetivo).,"Corto plazo (Marzo 2019, Abril-Junio 2019) y largo plazo (Julio-Diciembre 2019, Año completo).",MAR/MCAR.,"Pérdida aleatoria de concentraciones con tasas de missingness del 5%, 10%, 20%, 40%.","FTLRI (First Five & Last Three Logistic Regression Imputation). Selecciona 8 puntos temporales altamente relevantes (5 anteriores, 3 posteriores) usando correlación de Pearson (r >= 0.6) y ventana deslizante para entrenar un modelo de regresión logística.",Puntual.,Average log-likelihood loss (regresión logística) optimizado por el método de Newton.,"MAE, RMSE, MAPE.","KNN (k=8), Random Forest, Logistic Regression por defecto, Dynamic Imputation (Adam, 500 epochs).",No requiere todo el dataset para imputar un punto específico; entrena rápido basándose solo en los 8 vecinos temporales y atributos más correlacionados.,Requiere eliminar previamente todos los datos con valores faltantes para el entrenamiento inicial; asume relaciones lineales de Pearson.,"Datos de Lanzhou (LH, YZ, BPI) disponibles para replicación.",Métodos basados en regresión local con selección inteligente de vecinos (ventanas deslizantes dinámicas y Pearson).
